px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
-0.0265	2.7285	0	0	0	lidar	4	-0.0265	2.7285	0	2.75	0	1
0.0625438	2.75408	0.328947	-1.20864e-017	-3.72262e-019	radar	8.57983	0.0797818	3.01034	-0.022	3.0991	-0.1097	0.994
0.179131	2.75495	0.30928	0.00144597	0.000638148	lidar	0.0711462	-0.2104	3.4518	-0.0938	3.4924	-0.2334	0.9724
-0.131203	2.90105	-0.619169	0.294702	0.111078	radar	10.5542	-0.246114	3.97068	-0.2143	3.8735	-0.3535	0.9354
-0.326524	2.83154	-0.602828	0.334988	0.108207	lidar	0.215191	-0.4944	4.2117	-0.3817	4.2365	-0.4679	0.8838
-0.314309	3.13373	-0.355181	-0.254637	-0.189627	radar	10.4183	-0.529996	4.23829	-0.5932	4.5757	-0.575	0.8181
-0.42693	3.19464	-0.397728	-0.360802	-0.201898	lidar	0.335902	-0.6188	4.9151	-0.8456	4.8857	-0.673	0.7396
-0.888825	4.05106	-0.530101	-1.96729	-0.734529	radar	9.59161	-0.83178	4.85131	-1.1348	5.1616	-0.7604	0.6494
-0.809565	4.19774	-0.559279	-2.26295	-0.734067	lidar	0.213312	-1.5992	5.3318	-1.4564	5.3991	-0.8358	0.549
-1.3458	4.78144	0.721752	-1.72066	-0.404593	radar	24.4393	-1.94184	5.71945	-1.8051	5.5945	-0.898	0.4399
-1.44777	4.60401	0.689473	-1.89368	-0.408627	lidar	0.168532	-2.2583	5.5248	-2.1756	5.7445	-0.9461	0.3239
-1.995	5.60327	0.614428	-3.34332	-0.793973	radar	14.5026	-2.40407	6.35219	-2.562	5.847	-0.9792	0.2028
-2.18354	5.67159	0.650088	-3.66243	-0.794416	lidar	0.0552102	-2.8664	5.818	-2.9582	5.9002	-0.9969	0.0785
-3.3647	5.76457	1.24373	-2.9765	-0.487671	radar	5.49703	-3.56383	5.67426	-3.3579	5.9033	-0.9989	-0.0471
-3.76894	5.72689	1.24382	-3.17657	-0.489214	lidar	0.00333015	-3.805	5.8942	-3.7549	5.8563	-0.9851	-0.1719
-4.12616	5.34876	0.849631	-2.93599	-0.344582	radar	0.575276	-4.18923	5.37549	-4.1429	5.76	-0.9558	-0.294
-4.44181	5.28651	0.857193	-3.07359	-0.344362	lidar	0.00393448	-4.6276	5.3057	-4.5157	5.6157	-0.9114	-0.4115
-4.82744	5.56441	0.280645	-3.42481	-0.394991	radar	2.00342	-4.98565	5.81804	-4.8675	5.4259	-0.8526	-0.5225
-4.93861	5.57985	0.293655	-3.57947	-0.393415	lidar	0.031293	-5.3409	5.2375	-5.1927	5.1935	-0.7804	-0.6252
-5.35795	5.23951	-0.407537	-3.12533	-0.137201	radar	6.55172	-5.52273	4.98424	-5.4863	4.9222	-0.6959	-0.7181
-5.21896	5.23091	-0.391949	-3.17896	-0.13739	lidar	0.0991462	-5.6434	4.3894	-5.7435	4.6162	-0.6004	-0.7997
-6.07882	4.76065	-0.232187	-4.14473	-0.653732	radar	27.4134	-6.05802	3.84629	-5.9603	4.2804	-0.4955	-0.8686
-6.00956	4.70965	-0.244034	-4.40775	-0.654505	lidar	0.0234245	-6.1035	4.2618	-6.1333	3.92	-0.3827	-0.9239
-5.89806	3.8125	-1.05825	-5.02796	-0.797338	radar	4.52559	-5.82361	3.59049	-6.2599	3.5408	-0.2639	-0.9646
-6.04125	3.558	-1.08026	-5.35246	-0.799152	lidar	0.0234449	-6.3405	3.2164	-6.3378	3.1487	-0.1409	-0.99
-6.03035	2.50894	-1.81278	-4.85042	-0.546496	radar	1.36837	-6.05305	2.47818	-6.3661	2.75	-0.0157	-0.9999
-6.09036	1.93371	-1.78081	-5.08038	-0.549919	lidar	0.0288747	-6.051	2.4346	-6.3441	2.3509	0.1097	-0.994
-6.21582	2.59369	0.5482	-5.47459	-0.523728	radar	4.1849	-6.61921	1.86969	-6.2723	1.9576	0.2334	-0.9724
-6.02871	2.5283	0.399291	-5.64772	-0.509591	lidar	0.168676	-6.1854	1.3637	-6.1518	1.5765	0.3535	-0.9355
-6.22516	1.34134	0.960364	-5.48925	-0.422544	radar	4.48323	-6.22293	1.33348	-5.9844	1.2135	0.4679	-0.8838
-5.9742	1.58328	0.954688	-5.66464	-0.426858	lidar	0.11643	-5.3048	0.8146	-5.7729	0.8743	0.575	-0.8182
-5.98139	0.479823	-0.332178	-6.88343	-0.937191	radar	7.14001	-5.60404	0.409782	-5.5205	0.5643	0.673	-0.7396
-6.02128	0.588197	-0.291151	-7.25989	-0.937868	lidar	0.142088	-4.978	0.1707	-5.2312	0.2884	0.7604	-0.6495
-4.79165	-0.710572	3.58729	-7.75134	-0.993141	radar	8.12934	-4.45286	-0.138116	-4.9097	0.0509	0.8358	-0.549
-4.84503	-1.76319	3.45325	-8.1728	-1.00123	lidar	0.243786	-4.5397	-0.3544	-4.5609	-0.1444	0.898	-0.44
-4.7971	0.591397	-0.596901	-8.62361	-1.01	radar	10.323	-3.8811	-0.11139	-4.1904	-0.2945	0.9461	-0.3239
-4.6064	0.713365	-0.605018	-9.02076	-1.00832	lidar	0.171908	-3.8219	-0.244	-3.804	-0.397	0.9792	-0.2028
-4.20749	-0.185367	-0.974799	-9.27809	-1.05666	radar	12.7574	-3.72457	-0.228949	-3.4079	-0.4502	0.9969	-0.0785
-3.84612	-0.200412	-1.00049	-9.69915	-1.05645	lidar	0.0553221	-3.1484	-0.2599	-3.0081	-0.4533	0.9989	0.0471
-2.44109	-0.567958	-2.20697	-10.0573	-1.0605	radar	5.53135	-2.16592	-0.199594	-2.6112	-0.4063	0.9851	0.1719
-2.04373	-1.11481	-2.13287	-10.4302	-1.04011	lidar	0.108628	-2.1675	-0.1671	-2.2232	-0.31	0.9558	0.294
-1.88433	-0.554051	-0.398058	-10.3054	-0.842572	radar	2.76096	-2.07199	-0.105956	-1.8504	-0.1657	0.9114	0.4115
-1.76075	-0.63796	-0.385255	-10.6374	-0.842352	lidar	0.044834	-1.5827	-0.0346	-1.4986	0.0241	0.8527	0.5225
-1.85609	0.479454	2.15526	-10.7649	-0.779631	radar	4.39887	-1.5606	0.373632	-1.1734	0.2565	0.7804	0.6252
-1.83857	1.20833	2.10971	-11.0768	-0.778671	lidar	0.205216	-0.815	0.3465	-0.8798	0.5278	0.6959	0.7181
-0.758952	1.19889	1.26485	-11.9976	-1.03151	radar	2.6053	-0.811014	1.13146	-0.6226	0.8338	0.6004	0.7997
-0.289906	1.34261	1.26712	-12.411	-1.03186	lidar	0.00415187	-0.1846	1.1818	-0.4058	1.1697	0.4955	0.8686
-0.173215	1.31556	0.699929	-12.6818	-0.954674	radar	0.259784	-0.241776	1.67797	-0.2327	1.53	0.3827	0.9239
0.0327104	1.18967	0.5889	-13.0537	-0.949228	lidar	0.0814826	-0.1779	2.0088	-0.1062	1.9092	0.2639	0.9645
-0.594705	1.86424	-0.54286	-13.1461	-0.826387	radar	2.23136	-0.0938768	2.24974	-0.0282	2.3013	0.1409	0.99
-0.662864	2.00537	-0.491715	-13.4688	-0.824111	lidar	0.100676	0.012	2.6591	0	2.7	0.0157	0.9999
-0.879156	2.50114	-0.800202	-13.7935	-0.825575	radar	1.70006	-0.0484605	3.31815	0.011	3.0997	0.0785	0.9969
-0.915201	2.76195	-0.814044	-14.1398	-0.831456	lidar	0.153779	0.0631	3.406	0.0704	3.4949	0.2028	0.9792
-0.116459	3.89925	-2.04249	-15.6861	-1.22805	radar	4.34309	0.0523408	3.93625	0.1789	3.8797	0.324	0.9461
0.585709	3.72978	-2.02987	-16.1659	-1.22404	lidar	0.0486788	0.3159	4.3272	0.3348	4.2478	0.44	0.898
0.966644	4.20735	-1.21084	-16.106	-1.05116	radar	1.76706	0.947651	4.43529	0.5356	4.5934	0.5491	0.8358
1.35963	3.97964	-1.17012	-16.5255	-1.05176	lidar	0.159962	0.7015	4.9753	0.7781	4.9112	0.6495	0.7604
1.27209	4.81814	1.14609	-16.6382	-0.935159	radar	5.34814	1.14963	5.21949	1.0585	5.1961	0.7397	0.673
1.08493	5.2123	1.14743	-17.0127	-0.935943	lidar	0.0159733	1.366	5.4657	1.3724	5.4436	0.8182	0.575
1.33555	5.4598	0.615458	-17.6587	-1.1047	radar	1.01379	1.46545	5.55578	1.7149	5.6497	0.8838	0.4679
1.47198	5.65295	0.635627	-18.1069	-1.10789	lidar	0.097886	2.3837	5.8599	2.0805	5.8114	0.9355	0.3534
2.19931	6.10997	1.6755	-18.7588	-1.20014	radar	1.03229	2.27669	6.16996	2.4635	5.9259	0.9724	0.2334
2.80036	6.012	1.68155	-19.2368	-1.19925	lidar	0.00416919	2.9219	6.1608	2.8578	5.9915	0.994	0.1097
3.12216	5.77539	0.709191	-19.4691	-1.0289	radar	2.89521	3.05679	5.57029	3.2572	6.0072	0.9999	-0.0157
3.34588	5.61215	0.703526	-19.8802	-1.0289	lidar	0.0102379	3.4166	5.9061	3.6555	5.9727	0.99	-0.1409
3.8904	5.3984	0.474778	-20.0722	-0.9336	radar	1.82568	4.12488	5.55873	4.0463	5.8886	0.9646	-0.2639
3.92804	5.22829	0.462646	-20.4423	-0.932328	lidar	0.0624987	4.465	5.7481	4.4234	5.7562	0.9239	-0.3827
4.22675	5.39286	-0.146974	-20.4629	-0.783526	radar	2.59785	4.53867	5.52618	4.781	5.5775	0.8686	-0.4955
4.24634	5.4422	-0.142691	-20.7742	-0.782913	lidar	0.0703001	5.0291	5.3078	5.1134	5.3554	0.7997	-0.6004
4.52794	5.04201	-0.0566087	-21.0261	-0.816085	radar	17.3913	5.24505	4.79497	5.4153	5.0934	0.7181	-0.6959
4.54897	5.0615	-0.0846888	-21.3527	-0.816618	lidar	0.218878	5.9477	5.0024	5.682	4.7956	0.6252	-0.7804
5.31348	5.13022	0.471863	-22.2284	-1.05556	radar	33.2823	6.14867	4.57032	5.9093	4.4668	0.5225	-0.8527
5.20786	5.17042	0.434084	-22.6471	-1.05437	lidar	0.197806	5.9822	4.09	6.0936	4.1121	0.4115	-0.9114
6.09446	4.3736	-1.38128	-23.1085	-1.09046	radar	13.0352	5.74934	3.73237	6.2319	3.737	0.294	-0.9558
6.11241	4.02244	-1.42668	-23.5444	-1.09046	lidar	0.0647338	6.4164	3.3339	6.3222	3.3476	0.1719	-0.9851
6.4647	3.23673	-2.75411	-23.2516	-0.892585	radar	1.1877	6.56629	3.19377	6.3629	2.95	0.0471	-0.9989
6.50461	2.36611	-2.66861	-23.6321	-0.901782	lidar	0.0276542	6.0495	2.5181	6.3535	2.5503	-0.0785	-0.9969
6.32802	2.10932	-2.10893	-24.0052	-1.03038	radar	0.342251	6.69306	2.08435	6.2941	2.155	-0.2028	-0.9792
5.8566	1.49105	-2.08308	-24.4153	-1.03084	lidar	0.0217218	6.2429	1.6951	6.1856	1.7703	-0.3239	-0.9461
5.64746	1.60297	-0.61209	-24.7953	-1.01017	radar	0.633397	5.69838	1.57523	6.0297	1.4022	-0.44	-0.898
5.4379	1.56511	-0.610566	-25.194	-1.0072	lidar	0.0254934	5.6475	1.1366	5.8289	1.0565	-0.549	-0.8358
5.31453	0.874781	-0.402599	-24.6105	-0.521894	radar	4.98353	5.11714	0.708075	5.5864	0.7388	-0.6495	-0.7604
5.17997	0.83729	-0.405449	-24.8184	-0.521532	lidar	0.00128465	5.155	0.7332	5.306	0.4539	-0.7396	-0.673
4.89832	0.246906	-1.1818	-24.0813	-0.15147	radar	3.72899	4.92398	0.133965	4.992	0.2064	-0.8182	-0.575
4.68428	-0.0874022	-1.17506	-24.1493	-0.154419	lidar	0.0165031	4.4888	0.2418	4.6496	0.0002	-0.8838	-0.4679
4.35547	-0.122986	-0.874475	-24.4401	-0.238192	radar	0.180206	4.36316	-0.148842	4.284	-0.1614	-0.9354	-0.3535
4.09358	-0.301035	-0.883699	-24.537	-0.238591	lidar	0.0039757	3.9321	-0.3959	3.901	-0.2759	-0.9724	-0.2334
3.87817	-0.0365565	-0.898219	-24.8791	-0.349577	radar	1.17297	3.94839	-0.119673	3.5067	-0.3416	-0.994	-0.1097
3.55173	-0.0959733	-0.916052	-25.017	-0.348311	lidar	0.0412365	3.2434	-0.6184	3.1072	-0.3573	-0.9999	0.0157
2.42371	-0.4127	-1.84955	-24.9726	-0.242486	radar	3.00479	2.21979	-0.280958	2.709	-0.3228	-0.99	0.1409
1.74421	-0.481384	-1.83839	-25.0715	-0.243539	lidar	0.01246	2.0081	-0.2793	2.3182	-0.2386	-0.9646	0.2639
1.80305	-0.552476	-0.810048	-25.0967	-0.220734	radar	0.842821	2.07645	-0.176088	1.941	-0.1062	-0.9239	0.3827
1.50569	-0.537193	-0.799141	-25.188	-0.222081	lidar	0.0064382	1.6684	-0.3647	1.5835	0.0725	-0.8686	0.4955
0.976688	0.309434	-1.4314	-25.8836	-0.455872	radar	4.2445	0.717179	0.158569	1.2511	0.2946	-0.7997	0.6004
0.66438	0.712954	-1.40712	-26.0642	-0.456081	lidar	0.0313749	1.1726	0.5817	0.9492	0.5566	-0.7181	0.6959
0.276482	0.512049	-0.340515	-25.8947	-0.265766	radar	1.49989	0.606922	0.654371	0.6825	0.8543	-0.6252	0.7804
0.150943	0.564617	-0.348795	-26.0097	-0.26854	lidar	0.0773325	0.3958	1.3553	0.4552	1.1832	-0.5225	0.8526
-0.797458	0.250578	2.18268	-25.2524	0.156033	radar	3.48705	0.209433	1.36725	0.2709	1.5379	-0.4115	0.9114
-0.11773	0.731785	2.33119	-25.1252	0.182801	lidar	0.221191	0.0346	2.0907	0.1326	1.9129	-0.294	0.9558
-1.8961	1.89807	-2.52535	-24.8483	0.25398	radar	3.80369	0.0170063	2.50224	0.0423	2.3024	-0.1719	0.9851
-1.94079	2.22442	-1.50944	-24.4491	0.347595	lidar	0.650569	0.0782	2.6389	0.0016	2.7	-0.0471	0.9989
