time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	4	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.639358	0.494134	2.50175	-4.40434e-019	7.76688e-019	radar	209.785	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.758447	0.494293	2.50204	-1.75972e-005	-1.33454e-006	lidar	0.0191986	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	0.927117	0.416806	3.74602	0.291744	0.0814254	radar	24.4525	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.10399	0.469383	3.74692	0.295439	0.0813675	lidar	0.035903	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.45673	0.480178	4.67289	0.0680408	0.0338932	radar	12.7111	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.68883	0.496046	4.67354	0.069562	0.0339028	lidar	0.0303877	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	1.9456	0.540215	4.90033	0.10439	0.083441	radar	1.28452	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.18871	0.566054	4.9009	0.108451	0.0834751	lidar	0.0253121	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.49781	0.574485	5.12092	0.0782644	0.0579386	radar	3.03057	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	2.75245	0.594732	5.12121	0.0811262	0.05798	lidar	0.0077026	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.07882	0.523219	5.2375	-0.0118741	-0.103408	radar	5.14888	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.34026	0.519178	5.23809	-0.0172577	-0.103659	lidar	0.0388364	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.65674	0.56202	5.40086	0.0151607	-0.00725604	radar	4.41161	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	3.92615	0.565911	5.40125	0.0147708	-0.00720873	lidar	0.0163467	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.20938	0.596851	5.30988	0.0335503	0.0382873	radar	2.48438	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.47368	0.606211	5.30968	0.0357378	0.0387765	lidar	0.0112103	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.74622	0.613983	5.12036	0.0357346	0.0432101	radar	3.71247	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.00165	0.62328	5.12086	0.0378919	0.0432771	lidar	0.0298263	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.27515	0.638582	5.28235	0.0431885	0.0476547	radar	0.647081	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.53859	0.650246	5.2828	0.0456089	0.0477625	lidar	0.0263673	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	5.79287	0.5451	5.11885	-0.0210199	-0.0525854	radar	2.6069	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.04822	0.540063	5.11905	-0.0232324	-0.0519727	lidar	0.0282289	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.32192	0.634534	5.08792	0.0289202	0.0237781	radar	2.44345	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.57567	0.642066	5.0881	0.0301777	0.0238788	lidar	0.00531759	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	6.84317	0.634378	4.91237	0.0237328	0.0168421	radar	3.43219	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.0881	0.640897	4.91235	0.0249037	0.0172383	lidar	0.0114108	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.43304	0.689435	5.23776	0.0450991	0.041955	radar	7.22876	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.6941	0.701464	5.23787	0.0472114	0.0419747	lidar	0.00141075	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	7.96322	0.75756	5.0288	0.0689305	0.0644481	radar	3.89255	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.21347	0.775357	5.02883	0.0722204	0.0645195	lidar	0.000602346	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.49259	0.975503	5.30083	0.149765	0.139432	radar	5.84952	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.75392	1.01593	5.30082	0.156772	0.139467	lidar	0.00012545	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.08932	1.06885	5.33273	0.166919	0.143626	radar	7.69377	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.35144	1.11383	5.33263	0.174037	0.143566	lidar	0.00148379	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.65293	1.2473	5.36879	0.212018	0.172088	radar	3.54447	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.91467	1.30523	5.36896	0.220764	0.172216	lidar	0.00419601	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1708	1.45052	5.14116	0.261325	0.201244	radar	4.21019	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4181	1.51794	5.14098	0.271341	0.201205	lidar	0.00355847	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6527	1.61255	4.90224	0.292509	0.211663	radar	2.4288	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8865	1.68366	4.90197	0.302859	0.211469	lidar	0.00862696	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1778	1.67776	5.05895	0.284107	0.186986	radar	2.27923	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.42	1.74921	5.059	0.293283	0.186846	lidar	0.00512348	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6414	1.75965	4.97198	0.284592	0.172791	radar	0.96727	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8791	1.83015	4.97183	0.293153	0.172729	lidar	0.0019105	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1362	1.96075	5.16494	0.316546	0.1836	radar	1.08697	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3808	2.04123	5.16469	0.325442	0.183381	lidar	0.00778256	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6381	2.05249	5.25773	0.312084	0.16574	radar	1.10842	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8871	2.1345	5.25753	0.320476	0.16582	lidar	0.00984503	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.1523	2.31237	5.41466	0.353019	0.183466	radar	1.4741	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
