px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
0.312243	0.58034	0	0	0	lidar	4	0.312243	0.58034	0.6	0.6	5.19994	0
0.430415	0.315768	2.056	-4.4866e-018	-1.87409e-018	radar	212.533	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1.12689	0.492923	2.05996	-0.00291674	-0.000222677	lidar	0.708987	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1.20622	0.479395	2.95238	0.882032	0.134613	radar	33.5803	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1.42901	0.633046	2.98218	0.83878	0.12524	lidar	1.95109	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1.7427	0.576221	3.70318	-0.17363	-0.133043	radar	25.6493	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1.99003	0.576209	3.72509	-0.173035	-0.127032	lidar	1.51201	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
2.16918	0.643653	4.06121	0.0998819	0.151892	radar	18.7878	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
2.42092	0.673744	4.09095	0.0941632	0.149092	lidar	1.67099	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
2.69612	0.661133	4.36582	0.0602226	0.182615	radar	13.4706	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
2.9279	0.671455	4.37702	0.0603244	0.174411	lidar	0.241877	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
3.22363	0.589952	4.56834	-0.0284851	0.0917902	radar	11.8084	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
3.51145	0.545782	4.61862	-0.0745177	0.0214467	lidar	5.82106	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
3.79756	0.596873	4.75318	0.00690193	0.229231	radar	10.1043	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
4.0694	0.595339	4.78179	0.0089163	0.219317	lidar	1.6593	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
4.33836	0.624484	4.8374	0.0449525	0.279081	radar	2.46988	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
4.54949	0.689725	4.81	0.106937	0.364839	lidar	2.49928	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
4.81477	0.684256	4.83507	0.0953355	0.313317	radar	2.10091	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
5.10833	0.690374	4.87927	0.0913215	0.284091	lidar	4.8345	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
5.36807	0.696564	4.92659	0.0925803	0.261165	radar	3.52656	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
5.65774	0.712089	4.9634	0.0958469	0.248289	lidar	3.73322	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
5.91145	0.62806	4.96184	0.0292336	0.119376	radar	2.94737	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
6.17388	0.712675	4.97733	0.0875184	0.20342	lidar	2.62258	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
6.43009	0.757698	4.98749	0.112035	0.225824	radar	0.58563	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
6.68898	0.766087	4.99603	0.109319	0.20547	lidar	0.339961	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
6.94459	0.748891	4.98744	0.0910245	0.165781	radar	3.10447	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
7.18343	0.823029	4.9838	0.130212	0.209014	lidar	0.682647	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
7.47776	0.835308	5.03509	0.124658	0.185522	radar	6.867	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
7.73726	0.825821	5.04015	0.109586	0.152947	lidar	0.530074	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
7.99619	0.853641	5.0389	0.116737	0.153132	radar	2.75719	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
8.24669	0.871826	5.03878	0.117826	0.144613	lidar	0.0343642	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
8.50536	0.992843	5.06708	0.17171	0.202828	radar	6.48875	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
8.7531	1.04059	5.06661	0.183626	0.205079	lidar	0.00364308	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
9.04551	1.08148	5.10242	0.186803	0.194292	radar	8.5372	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
9.29355	1.10841	5.099	0.185843	0.181038	lidar	0.157119	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
9.57022	1.19653	5.12735	0.211583	0.199539	radar	5.19978	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
9.83626	1.29966	5.14416	0.243803	0.226587	lidar	1.92271	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
10.0902	1.4105	5.14767	0.280129	0.260761	radar	4.35808	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
10.3289	1.47925	5.14203	0.292024	0.259618	lidar	0.185917	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
10.5691	1.58477	5.13368	0.325387	0.292686	radar	4.13362	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
10.8118	1.61109	5.12504	0.313395	0.260583	lidar	1.01545	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
11.0803	1.65293	5.13696	0.304539	0.231429	radar	2.38897	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
11.3547	1.68727	5.14877	0.292464	0.20171	lidar	1.73688	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
11.5913	1.74812	5.13683	0.299341	0.201442	radar	1.03443	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
11.8339	1.80525	5.13194	0.300777	0.191163	lidar	0.195659	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
12.0841	1.89959	5.14265	0.314905	0.192948	radar	1.05297	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
12.3368	1.92451	5.13731	0.298418	0.161268	lidar	0.695065	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
12.5911	1.97422	5.14178	0.290596	0.138014	radar	0.968812	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
12.8066	2.09744	5.13333	0.323262	0.169884	lidar	1.55269	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
13.0638	2.20285	5.15309	0.335018	0.166347	radar	3.49575	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
13.2786	2.33457	5.14618	0.367605	0.196245	lidar	1.26007	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
13.4569	2.52146	5.12282	0.435245	0.278112	radar	10.8623	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
13.7028	2.62032	5.12927	0.44222	0.269245	lidar	0.492271	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
13.9231	2.74179	5.124	0.464637	0.284029	radar	0.291904	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
14.1514	2.8778	5.12925	0.487065	0.293391	lidar	0.223457	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
14.4013	2.96633	5.13867	0.475932	0.252015	radar	1.42467	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
14.6231	3.04764	5.12578	0.47424	0.236449	lidar	1.29724	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
14.8453	3.20259	5.13622	0.496727	0.241347	radar	3.66024	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
15.0523	3.37821	5.14118	0.533194	0.269642	lidar	0.60888	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
15.2607	3.55533	5.14584	0.57175	0.304932	radar	2.52474	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
15.4707	3.72754	5.15275	0.600207	0.319571	lidar	0.403204	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
15.6878	3.85112	5.14862	0.606227	0.308793	radar	0.910056	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
15.9066	3.99339	5.15136	0.617417	0.303477	lidar	0.141426	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
16.1036	4.16745	5.15014	0.654071	0.342026	radar	1.92327	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
16.2995	4.35288	5.15607	0.682421	0.354107	lidar	0.294964	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
16.5132	4.5069	5.16044	0.691202	0.341285	radar	0.672614	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
16.6973	4.68161	5.15743	0.714677	0.349082	lidar	0.247866	16.6039	4.67344	16.613	4.5849	3.74	3.28438
16.8434	4.90988	5.15224	0.786137	0.44208	radar	5.1019	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
17.0098	5.12236	5.15702	0.820827	0.455494	lidar	0.269469	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
17.1807	5.30179	5.15107	0.847628	0.470243	radar	1.89915	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
17.3458	5.48863	5.14674	0.869744	0.46957	lidar	0.164721	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
17.5004	5.67465	5.13751	0.901744	0.493858	radar	3.64141	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
17.6943	5.81818	5.12748	0.899669	0.466788	lidar	1.51539	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
17.8263	6.04291	5.12682	0.949786	0.515736	radar	1.30733	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
18.0001	6.2257	5.12525	0.960367	0.49959	lidar	0.601259	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
18.1429	6.44575	5.12863	0.988026	0.502336	radar	0.447984	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
18.272	6.66621	5.12767	1.01715	0.506841	lidar	0.0897585	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
18.3969	6.89307	5.12881	1.04974	0.519612	radar	0.139586	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
18.5503	7.05703	5.10995	1.05503	0.501893	lidar	2.64345	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
18.6989	7.2674	5.11151	1.06017	0.466643	radar	0.587718	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
18.8892	7.42106	5.09794	1.04873	0.432994	lidar	3.88934	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
18.9557	7.66111	5.08948	1.10838	0.498639	radar	4.20791	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
19.06	7.8904	5.08789	1.13551	0.50129	lidar	0.0720245	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
19.1768	8.10981	5.08499	1.15045	0.485006	radar	0.64758	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
19.27	8.32177	5.07206	1.17441	0.487228	lidar	1.53866	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
19.3597	8.54728	5.06562	1.19135	0.468109	radar	2.82198	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
19.4648	8.72472	5.03806	1.20277	0.460942	lidar	5.27057	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
19.5427	8.95541	5.03315	1.23411	0.479129	radar	1.18896	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
19.6983	9.13113	5.01629	1.22528	0.448318	lidar	4.73265	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
19.7534	9.37679	5.01552	1.26766	0.484421	radar	0.657062	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
19.8847	9.57783	5.00626	1.26751	0.460817	lidar	2.72898	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
19.9074	9.82741	5.00255	1.32405	0.520596	radar	2.26658	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
20.0034	10.0402	4.99262	1.3343	0.50602	lidar	1.27009	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
20.053	10.2973	4.99913	1.35291	0.482458	radar	5.77026	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
20.1172	10.5299	4.99458	1.37166	0.47776	lidar	0.187292	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
20.1158	10.7812	4.99134	1.42443	0.526742	radar	2.51335	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
20.1839	11.0158	4.989	1.43798	0.514205	lidar	1.04181	20.371	11.0109	20.1663	10.864	0.722256	4.7934
20.2059	11.2749	4.99438	1.4604	0.499375	radar	3.97061	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
20.2512	11.5	4.98337	1.47742	0.493385	lidar	0.803172	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
20.1741	11.7593	4.98163	1.56356	0.600618	radar	9.54839	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
20.2426	11.9834	4.97341	1.56907	0.577745	lidar	4.17287	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
20.2665	12.2249	4.96883	1.56442	0.504876	radar	4.19383	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
20.2734	12.4733	4.96951	1.5868	0.501946	lidar	0.0947618	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
20.2121	12.7171	4.9662	1.65046	0.574563	radar	2.95679	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
20.238	12.9469	4.95779	1.66312	0.560469	lidar	2.10809	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
20.2247	13.1848	4.9533	1.68859	0.561487	radar	2.68215	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
20.1999	13.404	4.93801	1.71517	0.56292	lidar	1.53625	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
20.1536	13.6445	4.9355	1.7404	0.551066	radar	1.25428	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
20.1407	13.8818	4.9319	1.75785	0.542029	lidar	0.992781	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
20.0786	14.1146	4.92818	1.79637	0.565371	radar	1.09841	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
20.0354	14.35	4.92525	1.82003	0.561481	lidar	0.223868	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
19.9567	14.5821	4.92265	1.85139	0.561888	radar	1.32032	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
19.8709	14.815	4.92234	1.88418	0.566445	lidar	0.281151	19.781	14.773	19.934	14.6897	-1.30687	4.62805
19.7989	15.0386	4.91469	1.90132	0.539747	radar	3.64364	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
